BSN;Schulname;Strasse;PLZ;Schulart;lat;lng;AlleLehrkraefte_2017;AlleQ_2017;AlleLehrkraefte_2018;AlleQS_2018;Q1_5_2018;Q6_x_2018;S1_5_2018;S6_x_2018
01A04;Berlin-Kolleg;Turmstr. 75;10551;Berlin-Kolleg;52.526574;13.334076;66;0 %;66;5 %;2 %;;3 %;
01B01;OSZ Banken, Immobilien und Versicherungen;Alt-Moabit 10;10557;;52.524055;13.357851;103;0 %;99;2 %;2 %;;;
01B02;Staatliche Technikerschule Berlin;Bochumer Straße 8b ;10555;;52.522747;13.338053;86;6 %;81;29 %;4 %;;;25 %
01B03;OSZ Kommunikations-, Informations- und Medientechnik;Osloer Str. 23 – 26;13359;;52.556676;13.379415;89;2 %;84;5 %;4 %;;1 %;
01B04;OSZ Gesundheit I;Schwyzer Str. 6;13349;;52.558542;13.354708;102;7 %;90;5 %;2 %;;3 %;
01B05;Staatliche Wirtschaftsfachschule für Hotellerie und Gastronomie Berlin;Niederwallstraße 6;10117;;52.512364;13.397973;23;0 %;;;;;;
01G01;Grundschule am Arkonaplatz;Ruppiner Str. 47-48;10115;Grundschule;52.53684;13.40039;31;3 %;31;9 %;6 %;;3 %;
01G02;Papageno-Grundschule;Bergstr. 58;10115;Grundschule;52.532833;13.391048;38;13 %;41;15 %;10 %;;5 %;
01G04;Kastanienbaum-Grundschule;Gipsstr. 23A;10119;Grundschule;52.52678;13.4018;27;4 %;26;8 %;8 %;;;
01G05;Grundschule Neues Tor;Hannoversche Str. 20;10115;Grundschule;52.52759;13.38033;35;6 %;36;17 %;3 %;;14 %;
01G07;GutsMuths-Grundschule;Singerstr. 8;10179;Grundschule;52.516365;13.42412;26;8 %;27;7 %;7 %;;;
01G08;Grundschule am Brandenburger Tor;Wilhelmstr. 52;10117;Grundschule;52.51318;13.38276;42;2 %;39;11 %;3 %;;8 %;
01G10;City-Grundschule;Sebastianstr. 57;10179;Grundschule;52.50737;13.40892;26;4 %;33;12 %;3 %;;9 %;
01G11;Kurt-Tucholsky-Grundschule;Rathenower Str. 18;10559;Grundschule;52.53026;13.35303;50;10 %;55;19 %;;15 %;4 %;
01G15;Anne-Frank-Grundschule;Paulstr. 20B;10557;Grundschule;52.51827;13.35527;25;4 %;27;7 %;7 %;;;
01G16;Moabiter Grundschule;Paulstr. 28;10557;Grundschule;52.521974;13.35657;35;14 %;34;15 %;12 %;;3 %;
01G18;Carl-Bolle-Grundschule;Waldenserstr. 20-21;10551;Grundschule;52.528894;13.331807;35;20 %;34;27 %;;24 %;3 %;
01G19;Hansa-Grundschule;Lessingstr. 5;10555;Grundschule;52.5214;13.34019;25;0 %;26;12 %;8 %;;4 %;
01G24;Gottfried-Röhl-Grundschule;Ungarnstr. 75;13349;Grundschule;52.55719;13.35717;43;9 %;45;29 %;;27 %;2 %;
01G25;Rudolf-Wissell-Grundschule;Ellerbeker Str. 7-8;13357;Grundschule;52.55158;13.39611;40;8 %;41;15 %;10 %;;5 %;
01G27;Gesundbrunnen-Grundschule;Prinzenallee 8;13357;Grundschule;52.55338;13.38292;48;10 %;48;19 %;;15 %;4 %;
01G28;Brüder-Grimm-Grundschule;Tegeler Str. 18-19;13353;Grundschule;52.54146;13.35783;40;8 %;36;14 %;11 %;;3 %;
01G29;Wilhelm-Hauff-Grundschule;Gotenburger Str. 8;13359;Grundschule;52.557813;13.384347;40;20 %;41;25 %;;20 %;5 %;
01G31;Wedding-Grundschule;Antonstr. 10;13347;Grundschule;52.546206;13.362468;46;11 %;49;16 %;;14 %;2 %;
01G32;Carl-Kraemer-Grundschule;Zechliner Str. 4;13359;Grundschule;52.56107;13.38284;43;23 %;42;36 %;;26 %;10 %;
01G35;Humboldthain-Grundschule;Grenzstr. 7;13355;Grundschule;52.54323;13.380143;43;7 %;48;14 %;10 %;;4 %;
01G36;Andersen-Grundschule;Kattegatstr. 26;13359;Grundschule;52.56553;13.38891;29;7 %;29;10 %;10 %;;;
