BSN;Schulname;Strasse;PLZ;Schulart;lat;lng;KlassenMehrAls26_32_Schueler
01G01;Grundschule am Arkonaplatz;Ruppiner Str. 47-48;10115;Grundschule;52.53684;13.40039;X
01G02;Papageno-Grundschule;Bergstr. 58;10115;Grundschule;52.532833;13.391048;X
01G08;Grundschule am Brandenburger Tor;Wilhelmstr. 52;10117;Grundschule;52.51318;13.38276;X
01G38;Gustav-Falke-Grundschule;Strelitzer Str. 42;13355;Grundschule;52.53795;13.39162;X
01G46;Grundschule am Koppenplatz;Koppenplatz 12;10115;Grundschule;52.52778;13.39745;X
01K03;Ernst-Reuter-Schule;Stralsunder Str. 57;13355;Integrierte Sekundarschule;52.538896;13.394373;X
01K08;Schule am Schillerpark (Integrierte Sekundarschule);Ofener Str. 6;13349;Integrierte Sekundarschule;52.55628;13.3457;X
01K09;Hedwig-Dohm-Schule (Integrierte Sekundarschule);Stephanstr. 27;10559;Integrierte Sekundarschule;52.53367;13.34651;X
02G21;Reinhardswald-Grundschule;Gneisenaustr. 73-74;10961;Grundschule;52.49059;13.3999;X
02K01;Ellen-Key-Schule;Rüdersdorfer Str. 20-28;10243;Integrierte Sekundarschule;52.5152;13.43689;X
02Y01;Andreas-Oberschule;Koppenstr. 76;10243;Gymnasium;52.514039;13.434606;X
02Y06;Leibniz-Gymnasium;Schleiermacherstr. 23;10961;Gymnasium;52.48978;13.39747;X
02Y07;Robert-Koch-Gymnasium;Dieffenbachstr. 60;10967;Gymnasium;52.49323;13.41596;X
02Y08;Hermann-Hesse-Oberschule;Böckhstr. 16;10967;Gymnasium;52.493579;13.419151;X
03G21;Grundschule unter den Bäumen;Alt-Blankenburg 26;13129;Grundschule;52.592262;13.454422;X
03G26;Arnold-Zweig-Grundschule;Wollankstr. 131;13187;Grundschule;52.56868;13.40012;X
03G28;Grundschule im Hasengrund;Charlottenstr. 19;13156;Grundschule;52.59089;13.410577;X
03G33;Jeanne-Barez-Schule (Grundschule);Hauptstr. 66;13127;Grundschule;52.60417;13.43415;X
03G36;Elisabeth-Christinen-Grundschule;Lindenberger Str. 12;13156;Grundschule;52.58294;13.41741;X
03G44;Georg-Zacharias-Grundschule;Sulzfelder Str. 15;13088;Grundschule;52.55219;13.47502;X
03K01;Kurt-Schwitters-Schule;Greifswalder Str. 25;10405;Integrierte Sekundarschule;52.5314;13.42807;X
03K05;Heinz-Brandt-Schule;Langhansstr. 120;13086;Integrierte Sekundarschule;52.551192;13.441808;X
03K06;Reinhold-Burger-Schule;Neue Schönholzer Str. 32;13187;Integrierte Sekundarschule;52.56838;13.40303;X
03Y04;Heinrich-Schliemann-Gymnasium;Dunckerstr. 64;10439;Gymnasium;52.54663;13.42365;X
03Y08;Carl-von-Ossietzky-Gymnasium;Görschstr. 42-44;13187;Gymnasium;52.566429;13.40007;X
04G01;Eichendorff-Grundschule;Goethestr. 19;10625;Grundschule;52.50921;13.31305;X
